DeputyID,x,y,z,Party,majorPartiesColorMap,alternativeColorMap,Name,State,numVotes
74060,6.727078777,2.656125572,1.954776681,PCDOB,#a52121,#a35c3c,Daniel Almeida,BA,428
74062,-9.803670833,0.1002006947,3.821212046,DEM,#f08080,#5b1058,Fábio Souto,BA,428
74065,2.261405038,-4.191069046,-2.5469917,PMDB,#393b79,#393b79,Fátima Pelaes,AP,428
73466,-11.24891473,2.628685836,4.314001036,PPS,#666666,#666666,Rubens Bueno,PR,428
74665,-1.695243599,-0.8400207201,-0.9018014738,PSD,#660000,#660000,Jaime Martins,MG,428
121759,4.162381236,-3.409725036,0.1214993385,PMDB,#393b79,#393b79,Marllos Sampaio,PI,428
159238,-11.15906859,1.859611068,1.868642155,PSDB,#1f77b4,#e8105f,Marcus Pestana,MG,428
159237,8.60858108,3.495581278,0.652374738,PT,#d62728,#c8f442,Assis Carvalho,PI,428
89282,-9.723543366,8.004664492,2.191807406,PDT,#32cd32,#ed5915,Reguffe,DF,428
73943,4.900113452,1.888585388,0.5252484496,PCDOB,#a52121,#a35c3c,Perpétua Almeida,AC,428
73940,0.1309614421,1.461604753,5.934137108,PV,#e377c2,#e377c2,Henrique Afonso,AC,428
73463,4.816678315,-5.041498711,-0.2343378819,PMDB,#393b79,#393b79,Osmar Serraglio,PR,428
74833,-4.916738839,-1.305525491,0.3255320257,PSD,#660000,#660000,Arolde de Oliveira,RJ,428
4930,3.691157779,-1.315153387,-1.223700574,PSC,#8c564b,#8c564b,Silvio Costa,PE,428
74830,2.156345154,-2.543154386,-3.658733476,PMDB,#393b79,#393b79,Alexandre Santos,RJ,428
74212,0.9433846489,-1.391949542,-3.103366767,PMDB,#393b79,#393b79,Aníbal Gomes,CE,428
74838,3.858416432,-4.669256055,0.3761551499,PMDB,#393b79,#393b79,Edson Ezequiel,RJ,428
74359,1.45478506,-2.87507445,-1.005651457,PTB,#9467bd,#154bed,Nilton Capixaba,RO,428
141421,1.827303164,0.2074882736,-3.038884448,PP,#008000,#008000,Eduardo da Fonte,PE,428
74400,5.148933522,4.111328187,-1.313650051,PT,#d62728,#c8f442,Paulo Pimenta,RS,428
74216,-11.58204136,0.713375023,2.098774754,PSDB,#1f77b4,#e8105f,Raimundo Gomes de Matos,CE,428
68731,-0.7745381121,-1.981263089,1.734531486,SDD,#ff8c00,#15e2ed,Henrique Oliveira,AM,428
74537,-8.992742013,0.5735093198,0.9311473999,DEM,#f08080,#5b1058,Claudio Cajado,BA,428
141548,2.624585009,0.06589226746,4.969982841,PDT,#32cd32,#ed5915,Sueli Vidigal,ES,428
160635,-8.528615038,1.235409144,0.6684184083,PSDB,#1f77b4,#e8105f,Ruy Carneiro,PB,428
160636,0.8819206294,-1.507770305,-1.334727138,PTB,#9467bd,#154bed,Wilson Filho,PB,428
160637,2.824424478,-1.37645133,2.155132721,PROS,#ffa500,#ffa500,Ronaldo Fonseca,DF,428
141543,3.550178174,-5.417108117,-1.169770807,PMDB,#393b79,#393b79,Professor Setimo,MA,428
74120,2.476589866,-5.953468666,-1.142461097,PMDB,#393b79,#393b79,João Magalhães,MG,428
74124,1.706055869,-6.42147065,1.656648831,PMDB,#393b79,#393b79,Marçal Filho,MS,428
73768,3.94016938,-6.260732191,-0.1988863359,PP,#008000,#008000,Dilceu Sperafico,PR,428
73764,-9.995673153,0.2910270337,0.4979695602,DEM,#f08080,#5b1058,Abelardo Lupion,PR,428
74141,8.101181999,3.907784003,0.1944919225,PT,#d62728,#c8f442,Josias Gomes,BA,428
74140,1.171620289,-4.929411308,2.108302837,PSD,#660000,#660000,José Carlos Araújo,BA,428
133373,-0.5465703218,5.212431648,-3.88129023,PT,#d62728,#c8f442,Marco Maia,RS,428
160758,-9.701345721,0.6560992769,-0.0322685195,PSDB,#1f77b4,#e8105f,Domingos Sávio,MG,428
141434,1.293016834,-3.194863953,-2.4620506,PMDB,#393b79,#393b79,Flaviano Melo,AC,428
160610,9.818556821,4.715126033,2.278898607,PT,#d62728,#c8f442,Valmir Assunção,BA,428
141431,2.283912396,-1.348923248,2.041778468,PSB,#90ee90,#90ee90,Fernando Coelho Filho,PE,428
141430,-0.6818572271,-4.800430466,2.948255217,PSD,#660000,#660000,Felipe Bornier,RJ,428
141438,5.377567332,4.553218505,0.1671497225,PT,#d62728,#c8f442,Francisco Praciano,AM,428
146949,-0.8868367766,-0.259774913,0.6572667137,PTDOB,#aaaaaa,#23211c,Rosinha da Adefal,AL,428
141539,-0.1852826381,0.5148027788,2.839014424,SDD,#ff8c00,#15e2ed,Sebastião Bala Rocha,AP,428
141537,-3.912103517,-0.9844205092,-0.7219680348,PSD,#660000,#660000,Moreira Mendes,RO,428
141531,-8.985258877,2.024862237,0.4165716798,PSDB,#1f77b4,#e8105f,Rodrigo de Castro,MG,428
152605,3.676659839,0.479637535,4.620274003,PSB,#90ee90,#90ee90,Glauber Braga,RJ,428
152607,-2.749739701,2.884648742,-4.500235243,PROS,#ffa500,#ffa500,Zé Vieira,MA,428
73507,-0.01905266274,-1.057596811,-1.380736085,PMDB,#393b79,#393b79,Rose de Freitas,ES,428
160618,1.808495142,-4.13775528,0.6225413177,PSD,#660000,#660000,Edson Pimenta,BA,428
109152,-0.6153853737,-2.363213077,-1.897377085,PR,#ffbb78,#ffbb78,Bernardo Santana de Vasconcellos,MG,428
73692,-0.1022297105,-4.556280318,-0.4349761216,PMDB,#393b79,#393b79,Osmar Terra,RS,428
160619,-2.700456564,-3.22054907,1.898539787,PSD,#660000,#660000,José Nunes,BA,428
73982,1.7450975,-0.7805009934,-1.426187202,PR,#ffbb78,#ffbb78,Luciano Castro,RR,428
147975,1.640362723,-3.349653175,0.9727271274,PR,#ffbb78,#ffbb78,Dr. Paulo César,RJ,428
73437,-0.1313427272,-1.320298874,-3.382407998,PRB,#aaaaaa,#ff5656,Beto Mansur,SP,428
73434,-2.989793383,-1.224285334,2.033142953,PTB,#9467bd,#154bed,Arnaldo Faria de Sá,SP,428
73433,7.066548939,3.432316983,-1.512807047,PT,#d62728,#c8f442,Arlindo Chinaglia,SP,428
74057,7.364011047,3.212950761,1.852980484,PCDOB,#a52121,#a35c3c,Alice Portugal,BA,428
74056,-8.020175849,0.1075013958,2.422818079,DEM,#f08080,#5b1058,Mendonça Prado,SE,428
74197,3.455710817,1.474890686,2.507675126,SDD,#ff8c00,#15e2ed,Domingos Dutra,MA,428
62881,1.973018251,-4.470432232,-2.147135103,PMDB,#393b79,#393b79,Danilo Forte,CE,428
74750,-1.687632795,-0.6375887186,-5.040490492,PMDB,#393b79,#393b79,Newton Cardoso,MG,428
160628,6.704926251,1.844569521,1.106571164,PCDOB,#a52121,#a35c3c,Luciana Santos,PE,428
160676,-1.088369129,-0.06702410561,-1.299750623,PSD,#660000,#660000,Fernando Torres,BA,428
73933,0.983160615,-3.046282564,-0.3045788156,PSC,#8c564b,#8c564b,Zequinha Marinho,PA,428
73931,6.773128545,4.09004834,-1.869013591,PT,#d62728,#c8f442,Zé Geraldo,PA,428
73930,0.7475297451,-0.4408805226,-3.892750547,SDD,#ff8c00,#15e2ed,Wladimir Costa,PA,428
151208,-0.6363883528,-1.765374222,-0.2480045657,SDD,#ff8c00,#15e2ed,Laercio Oliveira,SE,428
74283,6.878632148,3.769272512,0.6697641352,PT,#d62728,#c8f442,Vicentinho,SP,428
160673,3.180263122,-1.821982563,2.574495133,PDT,#32cd32,#ed5915,Giovani Cherini,RS,428
160622,4.368964376,3.144417521,-1.452785735,PT,#d62728,#c8f442,Vicente Candido,SP,428
160674,2.526772911,-4.87424861,-1.199975774,PMDB,#393b79,#393b79,Hugo Motta,PB,428
160675,-0.3801386365,-1.296805089,-1.269606656,PRP,#aaaaaa,#f9a4a4,Jânio Natal,BA,428
160677,0.1233292171,-0.856211375,1.992876443,PR,#ffbb78,#ffbb78,Francisco Floriano,RJ,428
160670,8.266682917,3.797016521,1.61508199,PT,#d62728,#c8f442,Padre Ton,RO,428
160671,10.26002231,4.095133485,1.900338751,PT,#d62728,#c8f442,Jesus Rodrigues,PI,428
160672,-5.113655043,8.531908574,3.194119026,PSOL,#ffcc00,#ffcc00,Jean Wyllys,RJ,428
74474,2.437124148,-0.4962021388,1.921116421,PCDOB,#a52121,#a35c3c,Carlos Eduardo Cadoca,PE,428
74570,-10.18744716,3.270017527,1.207088349,PSDB,#1f77b4,#e8105f,Jutahy Junior,BA,428
160678,7.418281955,4.456019846,0.2216011195,PT,#d62728,#c8f442,Artur Bruno,CE,428
160679,6.301524294,1.574468549,-0.1589103658,PT,#d62728,#c8f442,Taumaturgo Lima,AC,428
74574,4.402431489,-2.96225518,0.6807250453,PSD,#660000,#660000,Paulo Magalhães,BA,428
141379,-9.626849901,2.73782178,2.023008399,PSDB,#1f77b4,#e8105f,Andreia Zito,RJ,428
94931,2.873660699,-4.55987359,-0.6241727713,PMDB,#393b79,#393b79,Lucio Vieira Lima,BA,428
141372,0.3525635759,-2.106002537,-1.549303763,PR,#ffbb78,#ffbb78,Aelton Freitas,MG,428
141375,0.7157089606,0.668925431,-2.820117037,PP,#008000,#008000,Aline Corrêa,SP,428
74372,2.081350162,-2.490395408,-2.418417006,PP,#008000,#008000,Sandes Júnior,GO,428
74373,7.677685429,3.822214181,2.285686505,PT,#d62728,#c8f442,Biffi,MS,428
74374,3.104870195,-6.293541383,1.015229039,PMDB,#393b79,#393b79,Geraldo Resende,MS,428
74376,5.232742433,1.830344179,-0.8178547497,PT,#d62728,#c8f442,Vander Loubet,MS,428
74377,3.449956041,-4.293578471,-2.908375433,PMDB,#393b79,#393b79,André Zacharow,PR,428
